timestamp,name,method,confidence,status
2025-11-30 19:03:33,tringuyen,LBPH,74.71,GRANTED
2025-11-30 19:03:34,Unknown,LBPH,119.32,DENIED
2025-11-30 19:03:36,tringuyen,LBPH,81.16,GRANTED
2025-11-30 19:03:37,Unknown,FACENET,1.00,DENIED
2025-11-30 19:03:40,Unknown,FACENET,1.00,DENIED
2025-11-30 19:03:43,Unknown,FACENET,1.00,DENIED
2025-11-30 19:03:47,Unknown,FACENET,1.00,DENIED
2025-11-30 19:03:50,Unknown,FACENET,1.00,DENIED
2025-11-30 19:03:50,tringuyen,LBPH,77.21,GRANTED
2025-11-30 19:03:53,Unknown,LBPH,102.45,DENIED
2025-11-30 19:03:53,tringuyen,LBPH,78.69,GRANTED
2025-11-30 19:03:56,Unknown,LBPH,103.78,DENIED
2025-11-30 19:03:56,tringuyen,LBPH,74.08,GRANTED
2025-11-30 19:03:59,tringuyen,LBPH,77.44,GRANTED
2025-11-30 19:04:02,tringuyen,LBPH,80.07,GRANTED
2025-11-30 19:04:04,Unknown,LBPH,107.51,DENIED
2025-11-30 19:04:05,tringuyen,LBPH,76.67,GRANTED
2025-11-30 19:04:07,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:10,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:13,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:16,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:20,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:23,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:30,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:33,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:36,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:39,Unknown,FACENET,1.00,DENIED
2025-11-30 19:04:42,Unknown,FACENET,1.00,DENIED
2025-11-30 19:05:00,Unknown,FACENET,1.00,DENIED
2025-11-30 19:05:03,Unknown,FACENET,1.00,DENIED
2025-11-30 19:05:09,Unknown,FACENET,1.00,DENIED
2025-11-30 19:05:23,Unknown,FACENET,1.00,DENIED
2025-11-30 19:05:26,Unknown,FACENET,1.00,DENIED
2025-11-30 19:05:26,tringuyen,LBPH,78.84,GRANTED
2025-11-30 19:05:36,tringuyen,LBPH,69.59,GRANTED
2025-11-30 19:05:40,tringuyen,LBPH,72.77,GRANTED
